15012016                              Saída dinâmica de lista                                      1
------------------------------------------------------------------------------------------------------
15012016                          Fiscal - Cálculo Parcela Dedutível                             1
------------------------------------------------------------------------------------------------------
Fiscal - Cálculo Parcela Dedutível
------------------------------------------------------------------------------------------------------
| Material|Quantidade básica|UMB|Componente|TMat|Qtd|           Qtd|UM |O|   por| Prçstandard|Moeda|
| Y3957619|       1000.000 |UN |Y3959090  |HALB|   |        21.250 |M  |0|    1 |        4.53 |     |
| Y4118507|       1000.000 |UN |Y2278084  |HALB|X  |        45.000 |M  |0|1000 |      842.93 |     |
| Y4118507|       1000.000 |UN |Y2278084  |HALB|   |        18.785 |M  |0|1000 |      842.93 |     |
| Y4118503|       1000.000 |UN |Y4118541  |HALB|X  |        20.000 |M  |0|    1 |        4.00 |     |
| Y4118503|       1000.000 |UN |Y4118541  |HALB|   |         5.781 |M  |0|    1 |        4.00 |     |
| Y4118503|       1000.000 |UN |Y4118555  |HALB|X  |        20.000 |M  |0|    1 |        1.07 |     |
| Y4118503|       1000.000 |UN |Y4118555  |HALB|   |         5.781 |M  |0|    1 |        1.07 |     |
| Y4118596|       1000.000 |M  |Y2306072  |HALB|   |       200.000 |M  |0|    1 |        2.64 |     |
| Y3914060|       1000.000 |UN |Y2278063  |HALB|X  |        30.000 |M  |8|    1 |        2.57 |     |
| Y3914060|       1000.000 |UN |Y2278063  |HALB|   |        19.000 |M  |8|    1 |        2.57 |     |
| Y4126504|       1000.000 |UN |Y3536481  |HALB|X  |        55.000 |M  |0|1000 |      133.84 |     |
| Y4126504|       1000.000 |UN |Y3536481  |HALB|   |        11.906 |M  |0|1000 |      133.84 |     |
| Y4126504|       1000.000 |UN |Y2278649  |HALB|X  |        55.000 |M  |0|1000 |      100.30 |     |
| Y4126504|       1000.000 |UN |Y2278649  |HALB|   |        11.906 |M  |0|1000 |      100.30 |     |
| Y3670420|       1000.000 |UN |Y2278431  |HALB|X  |        60.000 |M  |0|    1 |        0.45 |     |
| Y3670420|       1000.000 |UN |Y2278431  |HALB|   |        11.113 |M  |0|    1 |        0.45 |     |
| Y3454126|       1000.000 |UN |Y3128909  |HALB|X  |        15.000 |M  |0|1000 |      306.62 |     |
| Y3454126|       1000.000 |UN |Y3128909  |HALB|   |        27.000 |M  |0|1000 |      306.62 |     |
| Y2306131|       1000.000 |UN |Y2305571  |HALB|X  |       140.000 |M  |0|1000 |      853.75 |     |
| Y2306131|       1000.000 |UN |Y2305571  |HALB|   |        71.438 |M  |0|1000 |      853.75 |     |
| Y3639968|       1000.000 |UN |Y2278372  |HALB|X  |        65.000 |M  |0|1000 |      577.95 |     |
| Y3639968|       1000.000 |UN |Y2278372  |HALB|   |        20.250 |M  |0|1000 |      577.95 |     |
| Y4045040|       1000.000 |UN |Y2303682  |HALB|X  |        55.000 |M  |0|1000 |    1157.64 |     |
| Y4045040|       1000.000 |UN |Y2303682  |HALB|   |         5.520 |M  |0|1000 |    1157.64 |     |
| Y3834136|       1000.000 |UN |Y2277880  |HALB|X  |        45.000 |M  |0|1000 |      214.16 |     |
| Y3834136|       1000.000 |UN |Y2277880  |HALB|   |        23.812 |M  |0|1000 |      214.16 |     |
| Y4157055|       1000.000 |UN |Y2303728  |HALB|X  |        28.000 |M  |0|1000 |      599.51 |     |
| Y4157055|       1000.000 |UN |Y2303728  |HALB|   |        51.500 |M  |0|1000 |      599.51 |     |
| Y3485753|       1000.000 |UN |Y2305571  |HALB|X  |       140.000 |M  |0|1000 |      853.75 |     |
| Y3485753|       1000.000 |UN |Y2305571  |HALB|   |        71.438 |M  |0|1000 |      853.75 |     |
| Y3907112|       1000.000 |UN |Y2278650  |HALB|X  |        55.000 |M  |0|1000 |      142.21 |     |
| Y3907112|       1000.000 |UN |Y2278650  |HALB|   |        78.316 |M  |0|1000 |      142.21 |     |
| Y3363255|         100.000 |M  |Y3330037  |ZRAW|   |        20.000 |M  |0|    1 |        5.40 |     |
| Y3363427|       1000.000 |M  |Y2306082  |ZRAW|   |       110.000 |M  |0|    1 |        6.02 |     |
| Y3363431|       1000.000 |M  |Y2306082  |ZRAW|   |       116.666 |M  |0|    1 |        6.02 |     |
| Y3363462|       1000.000 |M  |Y2306082  |ZRAW|   |       120.000 |M  |0|    1 |        6.02 |     |
| Y3363463|       1000.000 |M  |Y2306082  |ZRAW|   |       213.333 |M  |0|    1 |        6.02 |     |
| Y3363464|       1000.000 |M  |Y2306082  |ZRAW|   |        36.666 |M  |0|    1 |        6.02 |     |
| Y3363465|       1000.000 |M  |Y2306082  |ZRAW|   |        46.666 |M  |0|    1 |        6.02 |     |
| Y4086337|       1000.000 |UN |Y3215643  |HALB|X  |       145.000 |M  |0|    1 |        0.59 |     |
| Y4086337|       1000.000 |UN |Y3215643  |HALB|   |       152.400 |M  |0|    1 |        0.59 |     |
| Y3978983|       1000.000 |UN |Y2278238  |HALB|   |         5.786 |M  |0|    1 |        2.05 |     |
| Y3978983|       1000.000 |UN |Y2278238  |HALB|X  |        30.000 |M  |0|    1 |        2.05 |     |
| Y3978984|       1000.000 |UN |Y3978983  |HALB|   |     1000.000 |UN |0|1000 |      227.44 |     |
| Y4044996|       1000.000 |UN |Y3957150  |HALB|X  |        55.000 |M  |1|    1 |        2.20 |     |
